sample_id,study_id,accession,condition,paired_end,stranded
SRR8601526,GSE126848,GSM3615293,NAFL,FALSE,reverse
SRR8601527,GSE126848,GSM3615294,NAFL,FALSE,reverse
SRR8601528,GSE126848,GSM3615295,NAFL,FALSE,reverse
SRR8601529,GSE126848,GSM3615296,NAFL,FALSE,reverse
SRR8601530,GSE126848,GSM3615297,NAFL,FALSE,reverse
SRR8601531,GSE126848,GSM3615298,NAFL,FALSE,reverse
SRR8601532,GSE126848,GSM3615299,NAFL,FALSE,reverse
SRR8601533,GSE126848,GSM3615300,NAFL,FALSE,reverse
SRR8601534,GSE126848,GSM3615301,NAFL,FALSE,reverse
SRR8601535,GSE126848,GSM3615302,NAFL,FALSE,reverse
SRR8601536,GSE126848,GSM3615303,NAFL,FALSE,reverse
SRR8601537,GSE126848,GSM3615304,NAFL,FALSE,reverse
SRR8601538,GSE126848,GSM3615305,NAFL,FALSE,reverse
SRR8601539,GSE126848,GSM3615306,NAFL,FALSE,reverse
SRR8601540,GSE126848,GSM3615307,NAFL,FALSE,reverse
SRR8601541,GSE126848,GSM3615308,NASH,FALSE,reverse
SRR8601542,GSE126848,GSM3615309,NASH,FALSE,reverse
SRR8601543,GSE126848,GSM3615310,NASH,FALSE,reverse
SRR8601544,GSE126848,GSM3615311,NASH,FALSE,reverse
SRR8601545,GSE126848,GSM3615312,NASH,FALSE,reverse
SRR8601546,GSE126848,GSM3615313,NASH,FALSE,reverse
SRR8601547,GSE126848,GSM3615314,NASH,FALSE,reverse
SRR8601548,GSE126848,GSM3615315,NASH,FALSE,reverse
SRR8601549,GSE126848,GSM3615316,NASH,FALSE,reverse
SRR8601550,GSE126848,GSM3615317,NASH,FALSE,reverse
SRR8601551,GSE126848,GSM3615318,NASH,FALSE,reverse
SRR8601552,GSE126848,GSM3615319,NASH,FALSE,reverse
SRR8601553,GSE126848,GSM3615320,NASH,FALSE,reverse
SRR8601554,GSE126848,GSM3615321,NASH,FALSE,reverse
SRR8601555,GSE126848,GSM3615322,NASH,FALSE,reverse
SRR8601556,GSE126848,GSM3615323,NASH,FALSE,reverse
SRR8601557,GSE126848,GSM3615324,Healthy,FALSE,reverse
SRR8601558,GSE126848,GSM3615325,Healthy,FALSE,reverse
SRR8601559,GSE126848,GSM3615326,Healthy,FALSE,reverse
SRR8601560,GSE126848,GSM3615327,Healthy,FALSE,reverse
SRR8601561,GSE126848,GSM3615328,Healthy,FALSE,reverse
SRR8601562,GSE126848,GSM3615329,Healthy,FALSE,reverse
SRR8601563,GSE126848,GSM3615330,Healthy,FALSE,reverse
SRR8601564,GSE126848,GSM3615331,Healthy,FALSE,reverse
SRR8601565,GSE126848,GSM3615332,Healthy,FALSE,reverse
SRR8601566,GSE126848,GSM3615333,Healthy,FALSE,reverse
SRR8601567,GSE126848,GSM3615334,Healthy,FALSE,reverse
SRR8601568,GSE126848,GSM3615335,Healthy,FALSE,reverse
SRR8601569,GSE126848,GSM3615336,Healthy,FALSE,reverse
SRR8601570,GSE126848,GSM3615337,Healthy,FALSE,reverse
SRR8601571,GSE126848,GSM3615338,Obese,FALSE,reverse
SRR8601572,GSE126848,GSM3615339,Obese,FALSE,reverse
SRR8601573,GSE126848,GSM3615340,Obese,FALSE,reverse
SRR8601574,GSE126848,GSM3615341,Obese,FALSE,reverse
SRR8601575,GSE126848,GSM3615342,Obese,FALSE,reverse
SRR8601576,GSE126848,GSM3615343,Obese,FALSE,reverse
SRR8601577,GSE126848,GSM3615344,Obese,FALSE,reverse
SRR8601578,GSE126848,GSM3615345,Obese,FALSE,reverse
SRR8601579,GSE126848,GSM3615346,Obese,FALSE,reverse
SRR8601580,GSE126848,GSM3615347,Obese,FALSE,reverse
SRR8601581,GSE126848,GSM3615348,Obese,FALSE,reverse
SRR8601582,GSE126848,GSM3615349,Obese,FALSE,reverse
SRR9882956,GSE135251,GSM3998167,NAFLD.Early,TRUE,reverse
SRR9882957,GSE135251,GSM3998168,NAFLD.Moderate,TRUE,reverse
SRR9882958,GSE135251,GSM3998169,NAFLD.Early,TRUE,reverse
SRR9882959,GSE135251,GSM3998170,NAFLD.Moderate,TRUE,reverse
SRR9882960,GSE135251,GSM3998171,NAFLD.Early,TRUE,reverse
SRR9882961,GSE135251,GSM3998172,NAFLD.Early,TRUE,reverse
SRR9882962,GSE135251,GSM3998173,NAFLD.Moderate,TRUE,reverse
SRR9882963,GSE135251,GSM3998174,NAFLD.Early,TRUE,reverse
SRR9882964,GSE135251,GSM3998175,NAFLD.Early,TRUE,reverse
SRR9882965,GSE135251,GSM3998176,NAFLD.Early,TRUE,reverse
SRR9882966,GSE135251,GSM3998177,NAFLD.Early,TRUE,reverse
SRR9882967,GSE135251,GSM3998178,NAFLD.Early,TRUE,reverse
SRR9882968,GSE135251,GSM3998179,NAFLD.Moderate,TRUE,reverse
SRR9882969,GSE135251,GSM3998180,NAFLD.Early,TRUE,reverse
SRR9882970,GSE135251,GSM3998181,NAFLD.Early,TRUE,reverse
SRR9882971,GSE135251,GSM3998182,NAFLD.Early,TRUE,reverse
SRR9882972,GSE135251,GSM3998183,NAFLD.Early,TRUE,reverse
SRR9882973,GSE135251,GSM3998184,NAFLD.Early,TRUE,reverse
SRR9882974,GSE135251,GSM3998185,NAFLD.Moderate,TRUE,reverse
SRR9882975,GSE135251,GSM3998186,NAFLD.Early,TRUE,reverse
SRR9882976,GSE135251,GSM3998187,NAFLD.Early,TRUE,reverse
SRR9882977,GSE135251,GSM3998188,NAFLD.Moderate,TRUE,reverse
SRR9882978,GSE135251,GSM3998189,NAFLD.Early,TRUE,reverse
SRR9882979,GSE135251,GSM3998190,NAFLD.Moderate,TRUE,reverse
SRR9882980,GSE135251,GSM3998191,NAFLD.Moderate,TRUE,reverse
SRR9882981,GSE135251,GSM3998192,NAFLD.Early,TRUE,reverse
SRR9882982,GSE135251,GSM3998193,NAFLD.Moderate,TRUE,reverse
SRR9882983,GSE135251,GSM3998194,NAFLD.Early,TRUE,reverse
SRR9882984,GSE135251,GSM3998195,NAFLD.Moderate,TRUE,reverse
SRR9882985,GSE135251,GSM3998196,NAFLD.Early,TRUE,reverse
SRR9882986,GSE135251,GSM3998197,NAFLD.Early,TRUE,reverse
SRR9882987,GSE135251,GSM3998198,NAFLD.Early,TRUE,reverse
SRR9882988,GSE135251,GSM3998199,NAFLD.Early,TRUE,reverse
SRR9882989,GSE135251,GSM3998200,NAFLD.Moderate,TRUE,reverse
SRR9882990,GSE135251,GSM3998201,NAFLD.Moderate,TRUE,reverse
SRR9882991,GSE135251,GSM3998202,NAFLD.Early,TRUE,reverse
SRR9882992,GSE135251,GSM3998203,NAFLD.Moderate,TRUE,reverse
SRR9882993,GSE135251,GSM3998204,NAFLD.Early,TRUE,reverse
SRR9882994,GSE135251,GSM3998205,NAFLD.Early,TRUE,reverse
SRR9882995,GSE135251,GSM3998206,NAFLD.Early,TRUE,reverse
SRR9882996,GSE135251,GSM3998207,NAFLD.Moderate,TRUE,reverse
SRR9882997,GSE135251,GSM3998208,NAFLD.Moderate,TRUE,reverse
SRR9882998,GSE135251,GSM3998209,NAFLD.Moderate,TRUE,reverse
SRR9882999,GSE135251,GSM3998210,NAFLD.Moderate,TRUE,reverse
SRR9883000,GSE135251,GSM3998211,NAFLD.Early,TRUE,reverse
SRR9883001,GSE135251,GSM3998212,NAFLD.Early,TRUE,reverse
